"","Country","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR"
"90","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"91","Kenya","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","4","5","6","7","7","6","6","6","6","6","4","3","3","3","3","4","4","4","4","4","4","4","4","4"
"92","Kiribati",NA,NA,NA,NA,NA,NA,NA,"2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"93","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","4","3"
"94","Kuwait","4","4","4","4","6","6","6","6","6","4","4","4","4","6","6","6","6","7","6","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5"
"95","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","5","4","4","4","4","5","5","6","6","6","6","6","5","5","5","5","6","5","5","5","5","5","5"
"96","Laos","5","5","5","6","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"97","Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","3","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2"
"98","Lebanon","2","2","2","4","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5"
"99","Lesotho","7","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","3","4","4","4","4","4","4","4","4","2","2","2","2","2","2","2","3","3","3","2","2","2","3"
"100","Liberia","6","6","6","6","6","6","6","6","6","6","5","6","5","5","5","5","6","7","7","7","6","7","7","7","4","4","4","5","6","6","6","5","4","3","3","3","3","3","3","3","3","3","3"
"101","Libya","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","4","6","6"
"102","Liechtenstein","4","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"103","Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1"
"104","Luxembourg","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"105","Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4","4","4","4","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","4","4"
"106","Madagascar","5","5","5","5","6","5","6","6","6","6","5","5","5","5","5","5","5","4","4","4","2","2","2","2","2","2","2","2","2","3","3","3","3","4","4","4","6","6","6","6","5","4","3"
"107","Malawi","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","7","7","7","6","6","2","2","2","2","2","3","3","4","4","3","4","4","4","4","4","3","3","3","3","3","3","3"
"108","Malaysia","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","4","5","5","5","5","4","4","4","4","4","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4"
"109","Maldives","3","3","3","4","4","4","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","4","3","3","3","5","4","4","4"
"110","Mali","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","2","2","2","2","2","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","7","5","5","5"
"111","Malta","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"112","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"113","Mauritania","6","6","5","6","6","6","6","7","7","7","7","7","7","7","6","6","7","7","7","7","7","7","6","6","6","6","6","6","5","5","6","6","6","5","4","6","6","6","6","6","6","6","6"
"114","Mauritius","3","3","3","3","3","2","2","2","3","2","2","2","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"115","Mexico","5","4","4","4","4","4","4","3","3","3","3","3","4","4","4","3","4","4","4","4","4","4","4","4","3","3","3","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3"
